pvName,thresholdAlert,capacityUsed.Pct,capacityUsed.Gi,capacityLimit.Gi,pvSpec.Gi,projectID,pvStatus,pvcNamespace,pvcName,pvDirectory,userVol
pv-cnvrg-data-cache-commits,false,0%,1138050,0,10000,0,Bound,cnvrg,data-cache-pvc,cache_commits,N/A
pvc-ns-08296ac9-78ef-40e2-9a8c-aa543661c6c7,false,0%,0,30,30,4028170987,Bound,cnvrg,elastalert-storage,pvc-ns-08296ac9-78ef-40e2-9a8c-aa543661c6c7-projectId-4028170987,N/A
pvc-ns-13a3f692-ff3f-433e-bcad-75e802f83619,false,37%,37,100,100,1921823872,Bound,cnvrg,mnhwbct7jztn8cypaaaa-new-pvc,pvc-ns-13a3f692-ff3f-433e-bcad-75e802f83619-projectId-1921823872,ATRTv4
pvc-ns-27d0a37e-8bb3-42ca-bdbf-6c3ed085eff2,false,20%,41,200,200,156964889,Bound,cnvrg,hruxirqxcz7dxstncyzm-new-pvc,pvc-ns-27d0a37e-8bb3-42ca-bdbf-6c3ed085eff2-projectId-156964889,wtmb3
pvc-ns-368453ab-f791-42a7-95f7-7290a56af562,false,37%,55,150,150,921125356,Bound,cnvrg,es-storage-elasticsearch,pvc-ns-368453ab-f791-42a7-95f7-7290a56af562-projectId-921125356,N/A
pvc-ns-41ca88ad-e6cd-4bc5-98c4-d16f525e0684,false,20%,40,200,200,2693737156,Bound,cnvrg,cg2ptqkqozizmaygjhsy-new-pvc,pvc-ns-41ca88ad-e6cd-4bc5-98c4-d16f525e0684-projectId-2693737156,wtmb2
pvc-ns-46794bf6-2427-470d-a2fa-b4d8d06688fe,false,14%,9,64,64,3059629772,Bound,cnvrg,tr8muo78dnffwzqczcek-new-pvc,pvc-ns-46794bf6-2427-470d-a2fa-b4d8d06688fe-projectId-3059629772,opg-updated
pvc-ns-47d32ca5-86ae-49da-b4b5-2be400e5abad,false,0%,5,2000,2000,2576461206,Bound,cnvrg,bzb8hsert2ytcrbx5ifw-new-pvc,pvc-ns-47d32ca5-86ae-49da-b4b5-2be400e5abad-projectId-2576461206,workstation
pvc-ns-4bddc949-bd73-4022-a2d1-510aa76ce282,false,42%,42,100,100,1511225783,Bound,cnvrg,fs1sj5vzsdy4fqmfpxhx-new-pvc,pvc-ns-4bddc949-bd73-4022-a2d1-510aa76ce282-projectId-1511225783,brainmage3
pvc-ns-50abd378-a956-40b9-8a94-da9e48ba04c0,false,59%,59,100,100,2985202467,Bound,cnvrg,nxwgjzyniwmjrba5xrc8-new-pvc,pvc-ns-50abd378-a956-40b9-8a94-da9e48ba04c0-projectId-2985202467,brainmage4
pvc-ns-50d518e5-5c4c-4497-baf6-bb54fb8b14d4,false,33%,33,100,100,1450193263,Bound,cnvrg,mz9ldcbmxf2ycrn6byy8-new-pvc,pvc-ns-50d518e5-5c4c-4497-baf6-bb54fb8b14d4-projectId-1450193263,brainmage
pvc-ns-51f11c4f-8418-4d33-ba6d-8de56ba7760e,false,58%,58,100,100,2370268922,Bound,cnvrg,l3vfwngzcdjqzsk23tcc-new-pvc,pvc-ns-51f11c4f-8418-4d33-ba6d-8de56ba7760e-projectId-2370268922,brainmage5
pvc-ns-5369a8c0-2d0e-4450-8f4d-740f792b7e8f,false,40%,40,100,100,3818511168,Bound,cnvrg,snvjr6jhyxjzypgafdgm-new-pvc,pvc-ns-5369a8c0-2d0e-4450-8f4d-740f792b7e8f-projectId-3818511168,wtv1
pvc-ns-61902e20-2eb9-4bc1-be2f-2fddbba0f843,true,112%,9,8,8,52865680,Bound,cnvrg,qazua79cz1e1wkbahpzo-new-pvc,pvc-ns-61902e20-2eb9-4bc1-be2f-2fddbba0f843-projectId-52865680,cas-cnn
pvc-ns-6f4d116b-5670-443d-8254-daa06217cb93,false,5%,48,1000,1000,2118572390,Bound,cnvrg,zpfcbuwlvcoz9pimukcx-new-pvc,pvc-ns-6f4d116b-5670-443d-8254-daa06217cb93-projectId-2118572390,leukodl
pvc-ns-7212ac2c-7fc3-4528-b583-24c4fb197138,false,3%,3,100,100,1414368966,Bound,cnvrg,capsule,pvc-ns-7212ac2c-7fc3-4528-b583-24c4fb197138-projectId-1414368966,N/A
